RU;93;1617;TransparentCalls;0.91;43;87;9
US;49;1152;E-Voice;0.89;99;45;36
GB;47;214;TransparentCalls;0.65;193;66;45
FR;0;474;TransparentCalls;0.76;248;21;32
BL;21;1489;E-Voice;0.79;123;34;60
AT;6;1635;TransparentCalls;0.68;276;62;46
BG;84;1630;E-Voice;0.93;875;77;54
DK;83;202;JustPhone;0.60;190;73;48
CA;3;1638;JustPhone;0.61;559;42;9
ES;99;1949;E-Voice;0.94;378;92;34
CH;81;1467;JustPhone;0.84;638;66;19
TR;78;1852;TransparentCalls;0.95;230;67;9
PE;16;1820;JustPhone;0.73;658;34;36
NZ;15;983;JustPhone;0.93;65;26;6
MC;12;1989;E-Voice;0.89;260;5;55
